fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
12.9,2012-05-31 22:30:22 UTC,-74.007401,40.748202,-73.97965699999999,40.783826,1
7.5,2013-06-06 20:59:00 UTC,-73.991853,40.74468,-73.982455,40.76243,4
49.57,2010-07-07 16:20:42 UTC,-73.97347099999999,40.757036,-73.788041,40.641692,1
9.7,2010-03-04 08:55:48 UTC,-73.980163,40.749123,-74.005701,40.740236,1
12.5,2011-07-24 22:37:00 UTC,-73.970825,40.751798,-73.970318,40.75236,1
4.5,2013-07-30 19:29:00 UTC,-74.00591700000001,40.736022,-74.006075,40.739905,2
20.5,2015-05-30 18:08:30 UTC,-74.01193237304686,40.70312881469727,-73.9836654663086,40.76753616333008,6
6.1,2011-12-14 20:54:24 UTC,-73.954914,40.78841,-73.971601,40.797541,1
6.0,2013-11-04 17:45:27 UTC,-73.969614,40.763429,-73.975179,40.758726,1
9.5,2012-10-27 23:58:34 UTC,-73.987201,40.720607,-74.005605,40.725653,2
15.7,2009-11-22 16:53:00 UTC,-73.98007199999999,40.743263,-73.96978,40.802252,2
6.5,2013-01-01 21:39:00 UTC,-73.964535,40.759867,-73.95033000000001,40.772287,2
4.5,2013-12-23 16:09:00 UTC,-73.958725,40.771695,-73.952558,40.782337,1
10.5,2014-03-03 20:55:00 UTC,-73.967682,40.762672,-73.943177,40.787612,1
6.0,2014-05-30 19:37:00 UTC,-73.973792,40.792062,-73.9821,40.778087,1
7.7,2011-06-13 11:22:00 UTC,-73.979892,40.73471,-73.983677,40.715013,1
10.1,2011-06-23 15:43:00 UTC,-73.964158,40.776482,-73.99205,40.76948,1
4.0,2015-04-03 17:39:24 UTC,-74.00272369384766,40.74460220336913,-74.00411224365234,40.737571716308594,3
6.5,2013-05-23 21:38:33 UTC,-73.98289,40.738792,-73.972233,40.754015,2
3.7,2009-12-18 09:07:06 UTC,-73.98041500000001,40.764282,-73.980694,40.759762,1
32.33,2015-02-17 19:42:31 UTC,-73.87457275390625,40.77410888671875,-73.9686279296875,40.76432037353516,1
11.3,2011-10-11 00:58:14 UTC,-73.992548,40.758309,-73.950017,40.74753,1
6.5,2010-04-03 17:05:33 UTC,-73.991148,40.7473,-74.002949,40.730962,1
10.5,2010-05-29 20:45:48 UTC,-73.992519,40.762489,-74.005602,40.740996,4
