fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
3.7,2009-04-03 12:25:00 UTC,-73.97872,40.750812,-73.981205,40.744395,1
7.5,2013-01-02 19:42:29 UTC,-74.009644,40.715164,-74.002575,40.728135,1
7.0,2014-07-22 17:38:00 UTC,0.0,0.0,0.0,0.0,1
11.3,2010-02-15 11:44:00 UTC,-73.95966999999999,40.813932,-73.988403,40.771705,5
6.9,2010-08-20 19:36:00 UTC,-73.974432,40.755907,-73.956565,40.773663,1
9.5,2013-07-11 12:26:07 UTC,-73.993255,40.748115000000006,-74.001073,40.762802,4
8.5,2012-04-15 09:39:03 UTC,-73.95851800000001,40.764769,-73.99119300000001,40.765169,4
5.3,2012-04-17 16:53:00 UTC,-73.999437,40.743453,-73.986398,40.734728,2
3.3,2011-09-24 20:55:00 UTC,-73.982323,40.768287,-73.978287,40.766508,2
5.7,2011-08-09 12:42:56 UTC,-73.95988100000001,40.758504,-73.964905,40.759953,2
16.9,2012-01-26 09:23:00 UTC,-74.01661999999999,40.70838,-73.954385,40.763852,1
5.7,2011-01-30 10:43:07 UTC,-73.982047,40.77435,-73.97220899999999,40.79163,1
11.3,2011-08-13 18:06:00 UTC,-73.97343000000001,40.779615,-73.976587,40.749458,1
42.1,2009-03-01 09:27:00 UTC,-73.776663,40.645072,-73.991438,40.696507,3
14.5,2009-12-16 15:49:00 UTC,-73.88526800000001,40.772837,-73.919363,40.743417,1
16.5,2014-12-01 16:21:00 UTC,-73.982292,40.745022,-73.963885,40.758665,1
31.5,2014-04-28 13:14:00 UTC,-73.86943199999999,40.77121,-73.960963,40.76911,1
56.8,2012-12-26 10:47:00 UTC,-73.94537700000001,40.775282,-73.780715,40.646497,6
14.1,2012-07-22 22:51:39 UTC,-73.98093,40.741856,-74.016548,40.709923,1
5.7,2012-02-03 23:24:03 UTC,-73.983822,40.743793,-73.991095,40.755633,2
7.3,2011-04-29 19:00:47 UTC,-73.9776,40.734059,-73.959898,40.762697,1
8.0,2012-09-15 22:40:00 UTC,-73.9814,40.759012,-73.961927,40.768557,1
6.5,2014-07-10 19:38:00 UTC,-73.980812,40.76473,-73.97336999999999,40.755395,5
5.7,2010-03-09 16:12:00 UTC,-73.983778,40.747123,-73.968687,40.764863,1
9.3,2010-03-12 07:23:18 UTC,-73.96961800000001,40.798014,-73.983051,40.762598,1
5.5,2014-01-14 22:33:44 UTC,-73.984718,40.76848,-73.99069200000001,40.761088,1
6.5,2013-03-14 12:06:00 UTC,-73.9497,40.776567,-73.955887,40.763835,6
6.5,2013-06-20 16:31:00 UTC,-73.962937,40.766522,-73.980448,40.773227,1
16.0,2013-02-26 15:11:48 UTC,-73.992728,40.768547,-73.993441,40.730973,1
3.0,2015-04-03 18:05:33 UTC,-73.9961166381836,40.76380157470703,-74.00019836425781,40.76135635375977,1
14.1,2011-02-28 21:47:00 UTC,-73.991732,40.726778,-73.975877,40.673945,5
17.3,2009-02-25 14:47:00 UTC,-73.95969699999999,40.762678,-73.934933,40.811645,1
4.1,2009-03-27 00:45:00 UTC,-74.004198,40.719797,-73.99805500000001,40.720355,3
6.9,2011-10-22 08:36:00 UTC,-73.97605,40.74477,-73.991167,40.748807,5
5.7,2009-07-28 18:11:00 UTC,-74.01207,40.708745,-74.002138,40.724222,3
4.5,2014-09-18 21:52:25 UTC,-73.955651,40.779457,-73.955217,40.785763,1
